address,location/lat,location/lng,name,numberOfGuests,pricing/nights,pricing/rate/amount,pricing/rate/amountFormatted,pricing/rateType,pricing/totalPrice/accommodation,pricing/totalPrice/amount,pricing/totalPrice/amountFormatted,pricing/totalPrice/cleaningFee,pricing/totalPrice/currency,pricing/totalPrice/guestFee,primaryHost/badges/0,primaryHost/badges/1,roomType,stars,stand address,praia,price per guest,price per night,norm price per guest,reviews numerical,score
"Pina, Pernambuco, Brazil",-8.08609,-34.88819,Studio 29 beach Recife Deslumbrante,2,3,289.0,R$867,nightly,660,867,R$867,100.0,BRL,107.0,26 Reviews,Identity verified,Entire rental unit,5.0,Pina,1,144.5,289.0,0.988,26.0,4.693
"Boa Viagem, Pernambuco, Brazil",-8.10814,-34.88707,Av Boa Viagem. Flat com vista perfeita para o Mar.,4,3,513.67,R$513.67,nightly,1200,1541,"R$1,541",150.0,BRL,191.0,25 Reviews,Identity verified,Entire rental unit,4.94,Boa Viagem,1,128.417,513.667,0.99,25.0,4.576
"Pina, Pernambuco, Brazil",-8.09732,-34.88426,Excelente Flat super equipado e com vista pro Mar!,2,3,601.0,R$601,nightly,1430,1803,"R$1,803",150.0,BRL,223.0,27 Reviews,Identity verified,Entire serviced apartment,4.2,Pina,1,300.5,601.0,0.976,27.0,4.546
"Espinheiro, Pernambuco, Brazil",-8.04203,-34.89084,QUARTO SOLTEIRO NO ESPINHEIRO,2,3,97.0,R$291,nightly,210,291,R$291,45.0,BRL,36.0,24 Reviews,Identity verified,Private room in condo,5.0,Espinheiro,0,48.5,97.0,0.996,24.0,4.498
"Boa Viagem, Pernambuco, Brazil",-8.115,-34.896,QUARTO AMPLO E CLIMATIZADO,3,3,93.33,R$280,nightly,210,280,R$280,35.0,BRL,35.0,24 Reviews,Identity verified,Private room in rental unit,4.71,Boa Viagem,1,31.111,93.333,0.998,24.0,4.412
"Boa Viagem, Pernambuco, Brazil",-8.11959,-34.89886,"Lovely Apt in Boa Viagem
Beach & Pool",5,3,380.33,R$380.33,nightly,900,1141,"R$1,141",100.0,BRL,141.0,23 Reviews,Identity verified,Entire condo,5.0,Boa Viagem,1,76.067,380.333,0.994,23.0,4.396
"Centro, Pernambuco, Brazil",-8.44146,-34.98522,Casa Fantástica - Porto de Galinhas/ Muro Alto,16,3,2092.0,R$2092,nightly,5500,6276,"R$6,276",,BRL,776.0,23 Reviews,Identity verified,Entire home,4.92,Centro,0,130.75,2092.0,0.99,23.0,4.37
"Boa Viagem, Pernambuco, Brazil",-8.1185,-34.89352,Flat Mércure Navegantes Recife - Maravilhoso!,2,3,256.67,R$770,nightly,675,770,R$770,,BRL,95.0,23 Reviews,Identity verified,Private room in serviced apartment,4.69,Boa Viagem,1,128.333,256.667,0.99,23.0,4.301
"Recife, Pernambuco, Brazil",-8.12496,-34.90068,Amplo apto. em excelente localização de Boa Viagem,4,3,581.0,R$581,nightly,1527,1743,"R$1,743",,BRL,216.0,23 Reviews,,Entire rental unit,4.61,Recife,0,145.25,581.0,0.988,23.0,4.276
"Boa Viagem, Pernambuco, Brazil",-8.117,-34.894,Excelente Flat em frente a praia de Boa Viagem,2,3,376.67,R$376.67,nightly,840,1130,"R$1,130",150.0,BRL,140.0,22 Reviews,Identity verified,Entire serviced apartment,4.95,Boa Viagem,1,188.333,376.667,0.985,22.0,4.276
"Recife, Pernambuco, Brazil",-8.13954,-34.90359,Recife's best/ melhor de Recife,8,3,1179.33,R$1179.33,nightly,3000,3538,"R$3,538",100.0,BRL,438.0,22 Reviews,Identity verified,Entire rental unit,4.92,Recife,0,147.417,1179.333,0.988,22.0,4.269
"Recife, Pernambuco, Brazil",-8.038,-34.945,Apto completo perto da Cidade Universitária,5,3,251.0,R$753,nightly,660,753,R$753,,BRL,93.0,19 Reviews,Identity verified,Entire condo,4.83,Recife,0,50.2,251.0,0.996,19.0,3.947
"Boa Viagem, Pernambuco, Brazil",-8.1178,-34.89939,"Beach Class Hotels17°andar, conforto e luxo.",4,3,285.33,R$856,nightly,750,856,R$856,,BRL,106.0,18 Reviews,Identity verified,Entire serviced apartment,5.0,Boa Viagem,1,71.333,285.333,0.994,18.0,3.896
"Derby, Pernambuco, Brazil",-8.05424,-34.90311,Excelente Apto Área Hospitalar (S.Joana/Português),5,3,352.67,R$352.67,nightly,927,1058,"R$1,058",,BRL,131.0,18 Reviews,Identity verified,Entire rental unit,4.94,Derby,0,70.533,352.667,0.994,18.0,3.878
"Boa Viagem, Pernambuco, Brazil",-8.13268,-34.9018,Apartamento acolhedor com excelente localização,5,3,296.67,R$890,nightly,630,890,R$890,150.0,BRL,110.0,19 Reviews,Identity verified,Entire rental unit,4.58,Boa Viagem,1,59.333,296.667,0.995,19.0,3.871
"Várzea, Pernambuco, Brazil",-8.04531,-34.94953,Quarto  individual com banheiro privativo,2,3,74.33,R$223,nightly,195,223,R$223,,BRL,28.0,17 Reviews,Identity verified,Private room in guest suite,5.0,Várzea,0,37.167,74.333,0.997,17.0,3.798
"Madalena, Pernambuco, Brazil",-8.05265,-34.91127,"Ed. Jardins da Holanda,",4,3,483.0,R$483,nightly,1200,1449,"R$1,449",70.0,BRL,179.0,17 Reviews,Identity verified,Entire rental unit,4.88,Madalena,0,120.75,483.0,0.99,17.0,3.758
"Boa Viagem, Pernambuco, Brazil",-8.1208,-34.89686,Apartamento Boa Viagem perto de tudo,5,3,513.67,R$513.67,nightly,1200,1541,"R$1,541",150.0,BRL,191.0,16 Reviews,Identity verified,Entire condo,5.0,Boa Viagem,1,102.733,513.667,0.992,16.0,3.695
"Pina, Pernambuco, Brazil",-8.086,-34.89,"Apartamento completão, ao lado do Shop Rio Mar",4,3,494.67,R$494.67,nightly,1200,1484,"R$1,484",100.0,BRL,184.0,16 Reviews,Identity verified,Entire rental unit,4.82,Pina,1,123.667,494.667,0.99,16.0,3.64
"Recife, Pernambuco, Brazil",-8.13625,-34.90135,Double room w/ exclusive bathroom,2,3,464.0,R$464,nightly,1200,1392,"R$1,392",20.0,BRL,172.0,16 Reviews,Identity verified,Private room in rental unit,4.81,Recife,0,232.0,464.0,0.981,16.0,3.632
"Boa Viagem, Pernambuco, Brazil",-8.11701,-34.89351,"Flat Mercure Navegantes, 50m praia de Boa Viagem.",3,3,260.67,R$782,nightly,615,782,R$782,70.0,BRL,97.0,16 Reviews,Identity verified,Private room in serviced apartment,4.69,Boa Viagem,1,86.889,260.667,0.993,16.0,3.603
"Encruzilhada, Pernambuco, Brazil",-8.038,-34.888,A casa é sua!,2,3,64.0,R$192,nightly,168,192,R$192,,BRL,24.0,30 Reviews,Identity verified,Private room in rental unit,0.0,Encruzilhada,0,32.0,64.0,0.997,30.0,3.598
"Recife, Pernambuco, Brazil",-8.049,-34.895,Apartamento urbano industrial | Wi-Fi fibra ótica,3,3,324.0,R$972,nightly,732,972,R$972,120.0,BRL,120.0,15 Reviews,Identity verified,Entire condo,5.0,Recife,0,108.0,324.0,0.991,15.0,3.595
"Dois Irmãos, Pernambuco, Brazil",-8.00817,-34.95438,Maison JanArtem,3,3,95.0,R$285,nightly,195,285,R$285,55.0,BRL,35.0,15 Reviews,Identity verified,Entire home,4.47,Dois Irmãos,0,31.667,95.0,0.997,15.0,3.439
"Boa Viagem, Pernambuco, Brazil",-8.11225,-34.89346,Apartamento alto padrão em Boa Viagem,4,3,399.33,R$399.33,nightly,900,1198,"R$1,198",150.0,BRL,148.0,13 Reviews,Identity verified,Entire rental unit,5.0,Boa Viagem,1,99.833,399.333,0.992,13.0,3.395
"Boa Viagem, Pernambuco, Brazil",-8.11287,-34.90092,Apartamento completo para você. É só chegar!,4,3,430.0,R$430,nightly,1020,1290,"R$1,290",110.0,BRL,160.0,12 Reviews,Identity verified,Entire rental unit,5.0,Boa Viagem,1,107.5,430.0,0.991,12.0,3.295
"Boa Viagem, Pernambuco, Brazil",-8.14215,-34.90555,"Apartamento Jussara Freitas, 2 quartos Beira Mar",5,3,371.0,R$371,nightly,675,1113,"R$1,113",300.0,BRL,138.0,13 Reviews,Identity verified,Entire condo,4.63,Boa Viagem,1,74.2,371.0,0.994,13.0,3.285
"Boa Viagem, Pernambuco, Brazil",-8.13534,-34.90613,Setubal 2 quartos 400 metros do mar,4,3,502.0,R$502,nightly,1200,1506,"R$1,506",120.0,BRL,186.0,13 Reviews,Identity verified,Entire rental unit,4.62,Boa Viagem,1,125.5,502.0,0.99,13.0,3.28
"Graças, Pernambuco, Brazil",-8.05243,-34.90158,O lindo apartamento 2 quartos do Derby!,4,3,326.0,R$978,nightly,727,978,R$978,130.0,BRL,121.0,12 Reviews,Identity verified,Entire condo,4.75,Graças,0,81.5,326.0,0.993,12.0,3.221
"Casa Amarela, Pernambuco, Brazil",-8.02744,-34.91156,Ponto Jardim,2,3,102.67,R$308,nightly,270,308,R$308,,BRL,38.0,10 Reviews,Identity verified,Entire rental unit,4.71,Casa Amarela,0,51.333,102.667,0.996,10.0,3.011
"Boa Viagem, Pernambuco, Brazil",-8.1231,-34.89961,Ap em boa viajem disponível para carnaval os4 dias,6,3,490.67,R$490.67,nightly,1290,1472,"R$1,472",,BRL,182.0,9 Reviews,Identity verified,Entire rental unit,5.0,Boa Viagem,1,81.778,490.667,0.993,9.0,2.996
"Recife, Pernambuco, Brazil",-8.143,-34.905,"Apartamento amplo, localização excelente",6,3,513.67,R$513.67,nightly,1170,1541,"R$1,541",180.0,BRL,191.0,9 Reviews,Identity verified,Entire rental unit,4.89,Recife,0,85.611,513.667,0.993,9.0,2.963
"Boa Viagem, Pernambuco, Brazil",-8.1434,-34.90453,"BEST PANORAMIC VIEW 180º, BOA VIAGEM BEACH",6,3,913.0,R$913,nightly,2100,2739,"R$2,739",300.0,BRL,339.0,10 Reviews,Identity verified,Entire rental unit,4.44,Boa Viagem,1,152.167,913.0,0.988,10.0,2.925
"Boa Viagem, Pernambuco, Brazil",-8.14188,-34.90808,"Apartamento amplo, aconchegante, praia Boa Viagem",6,3,559.33,R$559.33,nightly,1170,1678,"R$1,678",300.0,BRL,208.0,9 Reviews,Identity verified,Entire rental unit,4.67,Boa Viagem,1,93.222,559.333,0.993,9.0,2.897
"Centro, Pernambuco, Brazil",-8.44142,-34.98465,Casa Espetacular em Muro Alto (Porto de Galinhas),15,3,2008.33,R$2008.33,nightly,5130,6025,"R$6,025",150.0,BRL,745.0,8 Reviews,Identity verified,Entire home,5.0,Centro,0,133.889,2008.333,0.989,8.0,2.893
"Boa Viagem, Pernambuco, Brazil",-8.09511,-34.88303,FLAT RESORT NA AVENIDA BOA VIAGEM,2,3,304.33,R$913,nightly,750,913,R$913,50.0,BRL,113.0,8 Reviews,Identity verified,Entire serviced apartment,4.8,Boa Viagem,1,152.167,304.333,0.988,8.0,2.833
"Estância, Pernambuco, Brazil",-8.08398,-34.93019,Quarto em um pedacinho de paz no Recife,1,3,83.0,R$249,nightly,168,249,R$249,50.0,BRL,31.0,6 Reviews,Identity verified,Private room in rental unit,5.0,Estância,0,83.0,83.0,0.993,6.0,2.696
"Boa Viagem, Pernambuco, Brazil",-8.139,-34.906,Aptubal | apartamento com design minimalista,3,3,551.33,R$551.33,nightly,1349,1654,"R$1,654",100.0,BRL,205.0,21 Reviews,Identity verified,Entire serviced apartment,0.0,Boa Viagem,1,183.778,551.333,0.985,21.0,2.691
"Boa Viagem, Pernambuco, Brazil",-8.11878,-34.89465,Belíssimo flat com vista magnífica do mar,2,3,932.0,R$932,nightly,2400,2796,"R$2,796",50.0,BRL,346.0,7 Reviews,Identity verified,Entire serviced apartment,4.57,Boa Viagem,1,466.0,932.0,0.963,7.0,2.649
"Recife, Pernambuco, Brazil",-8.13281,-34.90814,Quarto em Apartamento,1,3,110.33,R$331,nightly,240,331,R$331,50.0,BRL,41.0,5 Reviews,Identity verified,Private room in rental unit,5.0,Recife,0,110.333,110.333,0.991,5.0,2.595
"Boa Viagem, Pernambuco, Brazil",-8.11759,-34.90019,Apt superluxo e moderno em Boa Viagem,2,3,334.67,R$334.67,nightly,720,1004,"R$1,004",160.0,BRL,124.0,4 Reviews,Identity verified,Entire serviced apartment,4.92,Boa Viagem,1,167.333,334.667,0.987,4.0,2.468
"Boa Viagem, Pernambuco, Brazil",-8.13657,-34.90605,Aconchegante e fica a 300 da praia,4,3,274.0,R$822,nightly,600,822,R$822,120.0,BRL,102.0,4 Reviews,Identity verified,Entire condo,4.75,Boa Viagem,1,68.5,274.0,0.995,4.0,2.422
"Boa Viagem, Pernambuco, Brazil",-8.14499,-34.90781,Perfeito para familias / charming home with a view,4,3,493.33,R$493.33,nightly,1197,1480,"R$1,480",100.0,BRL,183.0,3 Reviews,Identity verified,Entire rental unit,5.0,Boa Viagem,1,123.333,493.333,0.99,3.0,2.394
"Boa Viagem, Pernambuco, Brazil",-8.10967,-34.89057,Apartamento duplex de luxo Beira mar,5,3,726.67,R$726.67,nightly,1740,2180,"R$2,180",170.0,BRL,270.0,Identity verified,,Entire rental unit,4.76,Boa Viagem,1,145.333,726.667,0.988,0.0,2.021
"Recife, Pernambuco, Brazil",-8.05375,-34.88251,"Apt Vista Mar, novíssimo! 15 km de Olinda!",4,3,399.33,R$399.33,nightly,900,1198,"R$1,198",150.0,BRL,148.0,13 Reviews,Identity verified,Entire serviced apartment,0.0,Recife,0,99.833,399.333,0.992,13.0,1.895
"Boa Viagem, Pernambuco, Brazil",-8.15236,-34.90748,"Flat na Av Boa Viagem (Recife), Por Temporada",6,3,542.0,R$542,nightly,1425,1626,"R$1,626",,BRL,201.0,11 Reviews,Identity verified,Entire rental unit,0.0,Boa Viagem,1,90.333,542.0,0.993,11.0,1.696
"Recife, Pernambuco, Brazil",-8.0548,-34.87116,Apartamento aconchegante,2,3,631.33,R$631.33,nightly,1500,1894,"R$1,894",160.0,BRL,234.0,7 Reviews,Identity verified,Entire rental unit,0.0,Recife,0,315.667,631.333,0.975,7.0,1.285
"Santo Amaro, Pernambuco, Brazil",-8.054,-34.878,Experiencie o CENTRO em sobrado histórico!,3,3,60.33,R$181,nightly,159,181,R$181,,BRL,22.0,5 Reviews,Identity verified,Shared room in rental unit,0.0,Santo Amaro,0,20.111,60.333,0.998,5.0,1.099
"Boa Viagem, Pernambuco, Brazil",-8.11345,-34.89868,@bc_hospedagens no Bristol,4,3,456.33,R$456.33,nightly,1200,1369,"R$1,369",,BRL,169.0,5 Reviews,Identity verified,Entire rental unit,0.0,Boa Viagem,1,114.083,456.333,0.991,5.0,1.095
"Rosarinho, Pernambuco, Brazil",-8.03622,-34.89821,CHÁCARA GRAVIRAN,10,3,951.0,R$951,nightly,2400,2853,"R$2,853",100.0,BRL,353.0,4 Reviews,,Private room in cottage,0.0,Rosarinho,0,95.1,951.0,0.992,4.0,0.995
"Ibura, Pernambuco, Brazil",-8.12657,-34.9172,Quartos próximos a praia de Boa Viagem,3,3,81.67,R$245,nightly,165,245,R$245,50.0,BRL,30.0,3 Reviews,Identity verified,Private room in home,0.0,Ibura,0,27.222,81.667,0.998,3.0,0.899
"Recife, Pernambuco, Brazil",-8.1428,-34.91634,Happy Place Quarto para Alugar _ 1,2,3,76.0,R$228,nightly,171,228,R$228,29.0,BRL,28.0,3 Reviews,Identity verified,Private room in rental unit,0.0,Recife,0,38.0,76.0,0.997,3.0,0.898
"Ipsep, Pernambuco, Brazil",-8.10841,-34.92524,"Quarto no Ipsep perto do aeroporto, e boa viagem",2,3,80.0,R$240,nightly,210,240,R$240,,BRL,30.0,2 Reviews,Identity verified,Private room in home,0.0,Ipsep,0,40.0,80.0,0.997,2.0,0.798
"Várzea, Pernambuco, Brazil",-8.04772,-34.96051,Quarto em apartamento no melhor cantinho da cidade,1,3,91.33,R$274,nightly,210,274,R$274,30.0,BRL,34.0,2 Reviews,Identity verified,Private room in rental unit,0.0,Várzea,0,91.333,91.333,0.993,2.0,0.796
"Encruzilhada, Pernambuco, Brazil",-8.03729,-34.88413,"Ambiente aconchegante com artes, design e cultura.",1,3,74.67,R$224,nightly,156,224,R$224,40.0,BRL,28.0,2 Reviews,Identity verified,Private room in condo,0.0,Encruzilhada,0,74.667,74.667,0.994,2.0,0.796
"Recife, Pernambuco, Brazil",-8.05193,-34.92495,La Bonita Residence,5,3,620.0,R$620,nightly,1500,1860,"R$1,860",130.0,BRL,230.0,2 Reviews,Identity verified,Entire home,0.0,Recife,0,124.0,620.0,0.99,2.0,0.794
"Boa Viagem, Pernambuco, Brazil",-8.13032,-34.89862,"Apt a Beira Mar, Recife PE 3 suítes c/ar",6,3,2510.67,R$2510.67,nightly,6600,7532,"R$7,532",,BRL,932.0,2 Reviews,Identity verified,Entire rental unit,0.0,Boa Viagem,1,418.444,2510.667,0.967,2.0,0.78
"Santo Amaro, Pernambuco, Brazil",-8.05465,-34.87816,"Casinha de Roger em Santo Amaro,  Recife / Centro",4,3,317.67,R$953,nightly,775,953,R$953,60.0,BRL,118.0,1 Review,Identity verified,Entire home,0.0,Santo Amaro,0,79.417,317.667,0.994,1.0,0.696
"Campo Grande, Pernambuco, Brazil",-8.03355,-34.87951,Casa bem ti vi - Carnaval 2023 Olinda/Recife,8,3,1141.33,R$1141.33,nightly,3000,3424,"R$3,424",,BRL,424.0,1 Review,Identity verified,Entire rental unit,0.0,Campo Grande,0,142.667,1141.333,0.989,1.0,0.693
"Brasília Teimosa, Pernambuco, Brazil",-8.08932,-34.87993,casa com piscina beira-mar.,9,3,1293.67,R$1293.67,nightly,3281,3881,"R$3,881",120.0,BRL,480.0,1 Review,Identity verified,Entire home,0.0,Brasília Teimosa,1,143.741,1293.667,0.989,1.0,0.693
"Boa Viagem, Pernambuco, Brazil",-8.11041,-34.89184,"Ap 2 quartos, em Boa  Viagem , próximo à praia.",4,3,1749.67,R$1749.67,nightly,4500,5249,"R$5,249",100.0,BRL,649.0,1 Review,Identity verified,Entire rental unit,0.0,Boa Viagem,1,437.417,1749.667,0.965,1.0,0.679
"Tamarineira, Pernambuco, Brazil",-8.03185,-34.9074,"Muito silencio, familiar e bem iluminado",4,3,82.0,R$246,nightly,270,246,R$246,,BRL,30.0,Identity verified,,Private room in bungalow,0.0,Tamarineira,0,20.5,82.0,0.998,0.0,0.599
"Iputinga, Pernambuco, Brazil",-8.04354,-34.94229,Casa até seis pessoas UFPE Carnaval 2023,6,3,1255.33,R$1255.33,nightly,3300,3766,"R$3,766",,BRL,466.0,Identity verified,,Entire home,0.0,Iputinga,0,209.222,1255.333,0.983,0.0,0.59
"Água Fria, Pernambuco, Brazil",-8.01995,-34.88767,excelente apartamento,5,3,1027.0,R$1027,nightly,2700,3081,"R$3,081",,BRL,381.0,Identity verified,,Entire rental unit,0.0,Água Fria,0,205.4,1027.0,0.984,0.0,0.59
"Recife, Pernambuco, Brazil",-8.08881,-34.92572,Otima casa para Grupo para copa,15,3,3423.67,R$3423.67,nightly,9000,10271,"R$10,271",,BRL,1271.0,,,Shared room in rental unit,0.0,Recife,0,228.244,3423.667,0.982,0.0,0.589
"Santo Amaro, Pernambuco, Brazil",-8.04527,-34.88388,Alugo casa para o carnaval! 7min de OLINDA.,6,3,1464.67,R$1464.67,nightly,3750,4394,"R$4,394",100.0,BRL,544.0,Identity verified,,Entire home,0.0,Santo Amaro,0,244.111,1464.667,0.98,0.0,0.588
"Derby, Pernambuco, Brazil",-8.05603,-34.90156,Aluguel pro carnaval do dia 21 ao 29/02,9,3,2282.33,R$2282.33,nightly,6000,6847,"R$6,847",,BRL,847.0,Identity verified,,Entire condo,0.0,Derby,0,253.593,2282.333,0.98,0.0,0.588
"Recife, Pernambuco, Brazil",-8.13553,-34.90653,Apartamento copa 2014 Recife World,4,3,1141.33,R$1141.33,nightly,3000,3424,"R$3,424",,BRL,424.0,Identity verified,,Entire rental unit,0.0,Recife,0,285.333,1141.333,0.977,0.0,0.586
"Boa Viagem, Pernambuco, Brazil",-8.11817,-34.89387,Lindo flat no quarteirão da melhor praia de recife,4,3,1141.33,R$1141.33,nightly,3000,3424,"R$3,424",,BRL,424.0,Identity verified,,Entire serviced apartment,0.0,Boa Viagem,1,285.333,1141.333,0.977,0.0,0.586
"Santana, Pernambuco, Brazil",-8.11093,-35.00067,Vendo e alugo Apartamento decorado,4,3,1369.33,R$1369.33,nightly,3600,4108,"R$4,108",,BRL,508.0,Identity verified,,Entire condo,0.0,Santana,0,342.333,1369.333,0.973,0.0,0.584
"Curado, Pernambuco, Brazil",-8.07541,-34.93969,Fazenda fantástica com 7 suítes e muito lazer.,9,3,3195.33,R$3195.33,nightly,8400,9586,"R$9,586",,BRL,1186.0,Identity verified,,Farm stay,0.0,Curado,0,355.037,3195.333,0.972,0.0,0.583
"Boa Vista, Pernambuco, Brazil",-8.05477,-34.87852,Período de Carnaval,15,3,5706.0,R$5706,nightly,15000,17118,"R$17,118",,BRL,2118.0,Identity verified,,Entire rental unit,0.0,Boa Vista,0,380.4,5706.0,0.97,0.0,0.582
"Espinheiro, Pernambuco, Brazil",-8.0455,-34.88919,Suites Catedral,4,3,1685.67,R$1685.67,nightly,4431,5057,"R$5,057",,BRL,626.0,,,Entire rental unit,0.0,Espinheiro,0,421.417,1685.667,0.966,0.0,0.58
"Boa Viagem, Pernambuco, Brazil",-8.11229,-34.8956,Flat Beach Class Santa Maria,2,3,1141.33,R$1141.33,nightly,3000,3424,"R$3,424",,BRL,424.0,Identity verified,,Entire serviced apartment,0.0,Boa Viagem,1,570.667,1141.333,0.954,0.0,0.572
"Zumbi, Pernambuco, Brazil",-8.04971,-34.91815,CASA PARA TEMPORADA AMBIENTE LIMPO E SEGURO EM- PE,4,3,2853.0,R$2853,nightly,7500,8559,"R$8,559",,BRL,1059.0,Identity verified,,Entire home,0.0,Zumbi,0,713.25,2853.0,0.943,0.0,0.566
"Boa Viagem, Pernambuco, Brazil",-8.12032,-34.89858,Premium Quadruplo,4,3,9999.0,R$9999,nightly,29997,29997,"R$29,997",,BRL,,Identity verified,,Room in hotel,0.0,Boa Viagem,1,2499.75,9999.0,0.8,0.0,0.48
